i=147 | event=STAG | counter=0 | f_prime=8332359554.67 | f_star=2063512644.67 | 6779246603.018->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=148 | event=NONE | counter=1 | f_prime=12908917244.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=149 | event=NONE | counter=2 | f_prime=11632763826.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=150 | event=NONE | counter=3 | f_prime=17256597441.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=151 | event=STAG | counter=0 | f_prime=6264319529.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=152 | event=NONE | counter=1 | f_prime=10408101827.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=153 | event=NONE | counter=2 | f_prime=14117600113.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=154 | event=NONE | counter=3 | f_prime=21963785255.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=155 | event=STAG | counter=0 | f_prime=10150817374.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=156 | event=S_STAG | counter=0 | f_prime=6193201159.67 | f_star=2063512644.67 | 7136385252.400->7100671387.462 | f_range=[2063512644.67, 55586402037.67]
i=157 | event=NONE | counter=1 | f_prime=36948253618.67 | f_star=2063512644.67 | 7100671387.462->7100671387.462 | f_range=[2063512644.67, 55586402037.67]
i=158 | event=NONE | counter=2 | f_prime=27737400419.00 | f_star=2063512644.67 | 7100671387.462->7100671387.462 | f_range=[2063512644.67, 55586402037.67]
i=159 | event=NONE | counter=3 | f_prime=5015654627.00 | f_star=2063512644.67 | 7100671387.462->7100671387.462 | f_range=[2063512644.67, 55586402037.67]
i=160 | event=STAG | counter=0 | f_prime=10039892989.00 | f_star=2063512644.67 | 7100671387.462->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=161 | event=NONE | counter=1 | f_prime=4863238269.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=162 | event=NONE | counter=2 | f_prime=6744682356.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=163 | event=NONE | counter=3 | f_prime=7442120524.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=164 | event=STAG | counter=0 | f_prime=14694814695.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=165 | event=NONE | counter=1 | f_prime=8920020380.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=166 | event=NONE | counter=2 | f_prime=7871589435.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=167 | event=NONE | counter=3 | f_prime=37885745256.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=168 | event=STAG | counter=0 | f_prime=9721431623.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=169 | event=S_STAG | counter=0 | f_prime=35350571941.67 | f_star=2063512644.67 | 7136385252.400->7132813865.906 | f_range=[2063512644.67, 55586402037.67]
i=170 | event=NONE | counter=1 | f_prime=10487003584.67 | f_star=2063512644.67 | 7132813865.906->7132813865.906 | f_range=[2063512644.67, 55586402037.67]
i=171 | event=NONE | counter=2 | f_prime=6008245976.67 | f_star=2063512644.67 | 7132813865.906->7132813865.906 | f_range=[2063512644.67, 55586402037.67]
i=172 | event=IMPR | counter=0 | f_prime=1908298124.00 | f_star=1908298124.00 | 7132813865.906->4096725777.133 | f_range=[1908298124.00, 55586402037.67]
i=173 | event=NONE | counter=1 | f_prime=17558201873.67 | f_star=1908298124.00 | 4096725777.133->4096725777.133 | f_range=[1908298124.00, 55586402037.67]
i=174 | event=NONE | counter=2 | f_prime=10475714736.00 | f_star=1908298124.00 | 4096725777.133->4096725777.133 | f_range=[1908298124.00, 55586402037.67]
i=175 | event=NONE | counter=3 | f_prime=9035558067.00 | f_star=1908298124.00 | 4096725777.133->4096725777.133 | f_range=[1908298124.00, 55586402037.67]
i=176 | event=STAG | counter=0 | f_prime=5460057365.00 | f_star=1908298124.00 | 4096725777.133->7132813865.906 | f_range=[1908298124.00, 55586402037.67]
